trade_count,generated_at
0,02:22:06
0,02:27:08
0,02:32:09
0,02:37:10
0,02:42:11
0,02:47:12
0,02:52:13
0,02:57:14
0,03:02:15
0,03:07:16
0,03:12:17
0,03:17:18
0,03:22:19
0,03:27:21
0,03:32:22
0,03:37:23
0,03:42:24
0,03:47:25
0,03:52:27
0,03:57:28
0,04:02:29
0,04:07:29
0,04:12:30
0,04:17:32
0,04:22:33
0,04:27:34
0,04:32:34
0,04:37:35
0,04:42:36
0,04:47:37
0,04:52:38
0,04:57:39
0,05:02:40
0,05:07:41
0,05:12:42
0,05:17:43
0,05:22:44
0,05:27:45
0,05:32:46
0,05:37:47
0,05:42:48
0,05:47:49
0,05:52:50
0,05:57:51
0,06:02:52
0,06:07:53
0,06:12:54
0,06:17:55
0,06:22:56
0,06:27:57
0,06:32:58
0,06:37:59
0,06:43:00
0,06:48:02
0,06:53:03
0,06:58:04
0,07:03:05
0,07:08:07
0,07:13:08
0,07:18:09
0,07:23:10
0,07:28:11
0,07:33:12
0,07:38:13
0,07:43:14
0,07:48:15
0,07:53:16
0,07:58:17
0,08:03:18
0,08:08:19
0,08:13:20
0,08:18:21
0,08:23:22
0,08:28:23
0,08:33:24
0,08:38:25
08:43:26,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
08:48:27,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
08:53:28,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
08:58:29,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
09:03:30,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
09:08:31,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
09:13:32,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
09:18:33,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
09:23:34,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
09:28:35,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
09:33:36,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
09:38:37,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
09:43:38,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
09:48:40,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
09:53:41,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
09:58:42,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
10:03:43,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
10:08:44,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
10:13:45,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
10:18:46,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
10:23:47,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
10:28:48,1,1.0,0.0,inf,0.013239182600000001,0.013239182600000001,0.0,0.013239182600000001,0.013239182600000001,0,0.0091862974,0.013239182600000001,0.013239182600000001,896.6770367622375,0.0
