close_time,symbol,side,entry_price,exit_price,qty,invested_notional,gross_pnl_usdt,fees_usdt,net_pnl_usdt,net_pnl_pct,dca_count,holding_time_sec,mfe_pct,mae_pct,exit_reason,tp_hit,smart_exit,manual_exit,hard_stop,entry_regime,exit_regime,entry_confidence,entry_risk_score,entry_success_prob,entry_tp_hit_prob,reward,final_outcome,exit_order_id,smart_exit_agree_count,smart_exit_required_agree,smart_exit_signals_fired,smart_exit_dca_distance_pct
2026-08-10 18:41:30 UTC,SOLUSDT,SHORT,75.91,75.78,1.05,79.7055,0.1365,0.06370979,0.07279021000000001,0.000913239487864702,0,4651.7643003463745,0.0025688315109997787,0.0019101567645897805,profit_lock,False,False,False,False,SIDEWAYS,SIDEWAYS,0.4983564846651073,0.12687388254710769,0.5,2.747579329747576e-49,0.035137833014129934,win,4180423110,,,,
2026-08-10 19:30:36 UTC,SOLUSDT,LONG,75.87,76.11,1.05,79.66350000000001,0.252,0.0638316,0.1881684,0.0023620403321470934,0,1127.0131437778473,0.003229207855542435,6.590220113345792e-05,take_profit,True,False,False,False,SIDEWAYS,SIDEWAYS,0.6632051282051242,0.1314102564102703,1.0,6.879755871567111e-25,0.11142220199427985,win,4180448939,,,,
2026-08-10 22:01:22 UTC,SOLUSDT,SHORT,76.23391304347825,76.27,2.0700000000000003,157.8042,-0.0747,0.12627324,-0.20097324,-0.0012735607797511091,1,8978.862325668335,0.0016910196306560664,0.00290011292475113,max_hold_time,False,False,False,False,SIDEWAYS,SIDEWAYS,0.6649999999988901,0.12499999999999994,0.9999999999999893,4.548222705075995e-38,-0.14324447080298922,loss,4180530550,,,,
2026-08-10 22:36:35 UTC,SOLUSDT,SHORT,76.2,76.08,1.04,79.248,0.1248,0.06334847,0.06145152999999999,0.0007754331970522913,0,1879.210087299347,0.002296587926509149,0.0016404199475063752,profit_lock,False,False,False,False,SIDEWAYS,SIDEWAYS,0.4154191473619638,0.133399209486165,1.0,8.337684315700175e-40,0.03501809910660473,win,4180548500,,,,
2026-08-11 00:02:43 UTC,SOLUSDT,SHORT,76.09391304347825,75.9,2.0700000000000003,157.5144,0.4014,0.12585096,0.27554903999999997,0.001749357773003611,1,5105.154552221298,0.002614046715728606,0.0011970334140879923,take_profit,True,False,False,False,SIDEWAYS,SIDEWAYS,0.6649999999999999,0.12499999999999999,1.0,1.75298462087966e-38,0.09016118756655919,win,4180593375,,,,
2026-08-11 01:56:40 UTC,SOLUSDT,LONG,75.80608695652172,75.85,2.0700000000000003,156.9186,0.09089999,0.12557123999999997,-0.03467124999999997,-0.00022095054378512154,1,6754.599209308624,0.0028878029755557465,0.0013334939261500768,profit_lock,False,False,False,False,SIDEWAYS,SIDEWAYS,0.6655695884060149,0.1229657517609858,1.0,4.6978088582520454e-98,-0.025032635915844235,loss,4180651256,,,,
2026-08-11 03:23:28 UTC,SOLUSDT,LONG,76.02788659793815,76.09,1.94,147.4941,0.1205,0.11804348,0.00245651999999999,1.6655039082919178e-05,1,5099.560101270676,0.002066523338899622,0.0009586824150933015,profit_lock,False,False,False,False,SIDEWAYS,SIDEWAYS,0.0,0.0,0.5,0.5,-0.008361251789015436,win,4180680491,,,,
2026-08-11 06:07:33 UTC,SOLUSDT,SHORT,75.89,75.77,1.05,79.6845,0.126,0.0318234,0.0941766,0.0011818684938727105,0,2758.3115694522858,0.0024377388325207837,0.0013176966662275468,profit_lock,False,False,False,False,SIDEWAYS,SIDEWAYS,0.0,0.0,0.5,0.5,0.06072814507483959,win,4180735439,,,,
2026-08-11 07:16:41 UTC,SOLUSDT,SHORT,75.82000000000001,75.569238,1.05,79.61099999999999,0.2633,0.06358348,0.19971651999999998,0.0025086548341309617,0,2265.1033403873444,0.0034291743603271575,0.0,take_profit,True,False,False,False,SIDEWAYS,SIDEWAYS,0.0,0.0,0.5,0.5,0.11224300648248046,win,4180757267,,,,
2026-08-11 09:18:00 UTC,SOLUSDT,SHORT,75.67980337078652,75.72,3.56,269.4201,-0.14309999,0.21559331999999998,-0.35869331,-0.0013313531915399037,2,7200.95010972023,0.003498996548512991,0.002975650294836976,max_hold_time,False,False,False,False,SIDEWAYS,SIDEWAYS,0.33225106225752765,0.12677812673194508,1.0,3.90916386485229e-68,-0.08816221330549635,loss,4180801640,,,,
2026-08-11 10:06:59 UTC,SOLUSDT,LONG,75.749333,75.87,1.05,79.53679964999999,0.1267,0.04671436,0.07998564,0.0010056431784026402,0,1947.1106810569763,0.002319056723575618,0.0013773454612462752,profit_lock,False,False,False,False,SIDEWAYS,SIDEWAYS,0.6634323824064572,0.12866229760987255,1.0,4.245955162455866e-89,0.05227866855363707,win,4180822590,,,,
2026-08-11 10:52:01 UTC,SOLUSDT,LONG,75.79,75.856857,1.05,79.57950000000001,0.0198,0.041844,-0.022043999999999998,-0.0002770060128550694,0,2074.782739877701,0.0025069270352287044,0.0005277741126798555,profit_lock,False,False,False,False,SIDEWAYS,SIDEWAYS,0.6004850853529464,0.12647216274090203,1.0,1.5962137942784288e-83,-0.022129183229880625,loss,4180848836,,,,
2026-08-11 11:08:57 UTC,SOLUSDT,LONG,75.99,76.14,1.05,79.7895,0.1575,0.0638946,0.0936054,0.0011731543624161074,0,955.9013330936432,0.0033557046979867046,0.0016449532833265666,profit_lock,False,False,False,False,SIDEWAYS,SIDEWAYS,0.6198896699382165,0.1266997580712458,1.0,4.388889340940408e-99,0.03716362152914844,win,4180856573,,,,
