close_time,symbol,side,entry_price,exit_price,qty,invested_notional,gross_pnl_usdt,fees_usdt,net_pnl_usdt,net_pnl_pct,dca_count,holding_time_sec,mfe_pct,mae_pct,exit_reason,tp_hit,smart_exit,manual_exit,hard_stop,entry_regime,exit_regime,entry_confidence,entry_risk_score,entry_success_prob,entry_tp_hit_prob,reward,final_outcome,exit_order_id,smart_exit_agree_count,smart_exit_required_agree,smart_exit_signals_fired,smart_exit_dca_distance_pct,entry_composite_score,entry_score_threshold,loss_budget_trigger_est_net_pnl
2026-08-21 09:00:24 UTC,SUIUSDT,LONG,0.807,0.8109,49.5,39.9465,0.19305,0.028059059999999997,0.16499094,0.004130297773271751,0,228.70210480690002,0.00929368029739771,0.0008054522924411888,profit_lock,False,False,False,False,STRONG_TREND,STRONG_TREND,0.5929310868460267,0.12683448342890455,0.5,0.5,0.06273878090946636,win,40799878999,,,,,0.7623853053333327,0.75,
2026-08-22 05:20:17 UTC,SUIUSDT,SHORT,0.839,0.8403,47.6,39.9364,-0.06188,0.0279864,-0.0898664,-0.00225023787822638,0,85.79750561714172,0.011144219308700798,0.00613825983313467,orderflow_smart_exit,False,False,False,False,STRONG_TREND,STRONG_TREND,0.5877035613219288,0.1254400877590989,0.5,0.9999999206510547,-0.1939207973833475,loss,40830575211,,,,,0.7534697965596716,0.75,
2026-08-30 12:29:24 UTC,SUIUSDT,SHORT,0.744575535,0.745024495,53.7,39.9837062295,-0.024109152,0.0399957608,-0.0641049128,-0.0016032759052412044,0,799.2109739780426,0.0023174747475418257,0.0005029241257571618,rr_stop_loss,False,False,False,False,WEAK_TREND,SIDEWAYS,0.5837932499119961,0.11392794827055316,0.5,0.5516118437101415,-0.11040555116944994,loss,-1864711,,,,,0.6239501836480369,0.6,
2026-08-30 14:16:11 UTC,SUIUSDT,LONG,0.751225115,0.750174975,53.2,39.965176118,-0.055867448,0.0399372424,-0.0958046904,-0.0023972042589560944,0,219.23900604248047,0.0028285595856309535,0.0010318012331097962,rr_stop_loss,False,False,False,False,WEAK_TREND,WEAK_TREND,0.35176060131633313,0.12632508833922246,0.5,0.10059607453344609,-0.13984021712745806,loss,-1271697,,,,,0.6543527413106878,0.6,
2026-08-30 16:18:48 UTC,SUIUSDT,LONG,0.753125305,0.752074785,53.1,39.9909536955,-0.055782612,0.0399630623,-0.0957456743,-0.002394183320283603,0,65.52816605567932,0.0006966901742865684,0.0015605703223581897,rr_stop_loss,False,False,False,False,WEAK_TREND,WEAK_TREND,0.5628334769693457,0.12614650002519773,0.5,0.5341612671415806,-0.26799988654386553,loss,-1627931,,,,,0.7839931204441123,0.6,
2026-08-30 16:58:35 UTC,SUIUSDT,LONG,0.757925785,0.757474245,52.7,39.9426888695,-0.023796158,0.039930790800000004,-0.0637269488,-0.0015954596599194282,0,34.98611927032471,0.0002958271171629655,0.0004958071191627521,rr_stop_loss,False,False,False,False,WEAK_TREND,WEAK_TREND,0.678693432075178,0.11647439148073045,0.5,0.9210169307480272,-0.256553530851547,loss,-1015695,,,,,0.7081460517891637,0.6,
2026-08-30 18:37:55 UTC,SUIUSDT,LONG,0.762026195,0.761273865,52.4,39.930172618,-0.039422092,0.0399104616,-0.0793325536,-0.0019867821348770708,0,28.492096662521362,3.123908358555556e-05,0.0010185935930982464,rr_stop_loss,False,False,False,False,WEAK_TREND,WEAK_TREND,0.43452213575504,0.12780493809791788,0.5,0.2579757795055085,-0.2621727180658595,loss,-975608,,,,,0.6653951502546461,0.6,
2026-08-30 20:38:41 UTC,SUIUSDT,LONG,0.7497249649999999,0.748675125,53.3,39.96034063449999,-0.055956472,0.0399323624,-0.0958888344,-0.002399600025361491,0,205.66826057434082,0.0024342726802489313,0.001300430218433273,rr_stop_loss,False,False,False,False,WEAK_TREND,WEAK_TREND,0.5640156866310269,0.12547136648344648,0.5,0.3805109034191752,-0.1632673715427255,loss,-1221133,,,,,0.6481965358901769,0.6,
2026-08-30 21:01:30 UTC,SUIUSDT,SHORT,0.748175175,0.740824075,53.4,39.952554344999996,0.39254874,0.039756280000000005,0.35279246,0.008830285466945406,0,330.23578929901123,0.010058038881068113,0.0001000100010001008,take_profit,True,False,False,False,WEAK_TREND,WEAK_TREND,0.4543944394779986,0.11705413753861112,0.5,0.11417956048199362,0.13952015362111114,win,-1590654,,,,,0.6626959998885773,0.6,
2026-08-30 21:03:38 UTC,SUIUSDT,SHORT,0.7397760149999999,0.741324125,54.0,39.94790481,-0.08359794,0.0399897038,-0.1235876438,-0.00309372029366263,0,55.44332146644592,0.001657278656161701,0.002127650759264013,rr_stop_loss,False,False,False,False,WEAK_TREND,WEAK_TREND,0.352248517019851,0.12990700645985687,0.5,0.3483657201004715,-0.2743702278863028,loss,-1717987,,,,,0.6147132265591493,0.6,
2026-08-30 21:28:05 UTC,SUIUSDT,SHORT,0.741275865,0.741824175,53.9,39.9547691235,-0.029553909,0.0399695461,-0.0695234551,-0.001740053981668705,0,545.1338160037994,0.0027329434231613834,0.0006396201770309117,rr_stop_loss,False,False,False,False,WEAK_TREND,WEAK_TREND,0.5083966066028832,0.1203468958694038,0.5,0.31799600944340994,-0.10364064674605838,loss,-1185271,,,,,0.671854373932555,0.6,
