trade_count,generated_at
0,06:22:00
0,06:27:08
0,06:32:09
0,06:37:10
0,06:42:11
0,06:47:12
0,06:52:13
0,06:57:15
0,07:02:16
0,07:07:17
0,07:12:18
0,07:17:19
0,07:22:20
0,07:27:21
0,07:32:22
0,07:37:24
0,07:42:25
0,07:47:26
0,07:52:27
0,07:57:28
0,08:02:29
0,08:07:29
0,08:12:31
0,08:17:32
0,08:22:33
0,08:27:33
0,08:32:35
0,08:37:36
0,08:42:37
0,08:47:38
0,08:52:39
0,08:57:39
09:02:40,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
09:07:42,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
09:16:21,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
09:21:24,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
09:26:25,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
09:31:27,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
09:36:28,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
09:41:29,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
09:46:30,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
09:51:31,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
09:56:32,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
10:01:34,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
10:06:35,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
10:11:36,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
10:16:36,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
10:21:37,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
10:26:38,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
10:31:39,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
10:36:40,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
10:41:41,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
10:46:42,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
10:51:44,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
10:56:46,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
11:01:47,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
11:06:48,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
11:11:48,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
11:16:49,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
11:21:50,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
11:26:51,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
11:31:52,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
11:36:53,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
11:41:54,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
11:46:55,1,1.0,0.0,inf,0.16499094,0.16499094,0.0,0.16499094,0.16499094,0,0.028059059999999997,0.16499094,0.16499094,228.70210480690002,0.0
