trade_count,generated_at
0,19:34:46
0,19:39:48
0,19:44:48
0,19:49:49
0,19:54:50
0,19:59:51
0,20:04:52
0,20:09:53
0,20:14:54
0,20:19:55
0,20:24:55
0,20:29:56
0,20:34:57
0,20:39:58
0,20:44:59
0,20:49:59
0,20:55:00
0,21:00:01
0,21:05:04
0,21:10:04
0,21:15:05
0,21:20:06
0,21:25:07
0,21:30:08
0,21:35:09
0,21:40:10
0,21:45:11
0,21:50:12
0,21:55:13
0,22:00:13
0,22:05:14
0,22:10:15
0,22:15:16
0,22:20:17
0,22:25:18
0,22:30:19
0,22:35:20
0,22:40:21
0,22:45:22
0,22:50:23
0,22:55:24
0,23:00:24
0,23:05:26
0,23:10:27
0,23:15:28
0,23:20:29
23:25:30,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
23:30:31,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
23:35:32,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
23:40:33,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
23:45:34,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
23:50:35,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
23:55:36,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
00:00:37,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
00:05:38,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
00:10:38,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
00:15:39,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
00:20:40,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
00:25:41,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
00:30:42,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
00:35:43,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
00:40:44,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
00:45:45,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
00:50:46,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
00:55:47,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
01:00:48,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
01:05:48,1,1.0,0.0,inf,0.0766844,0.0766844,0.0,0.0766844,0.0766844,0,0.0793156,0.0766844,0.0766844,4441.711149215698,0.0
