trade_count,generated_at
0,03:45:09
0,03:50:11
0,03:55:11
0,04:00:12
0,04:05:13
0,04:10:14
0,04:15:14
0,04:20:15
0,04:25:16
0,04:30:16
0,04:35:17
0,04:40:18
0,04:45:18
0,04:50:19
0,04:55:19
0,05:00:20
0,05:05:21
0,05:10:21
0,05:15:22
0,05:20:23
0,05:25:23
0,05:30:24
0,05:35:24
0,05:40:25
0,05:45:26
0,05:50:26
0,05:55:27
0,06:00:28
0,06:05:28
0,06:10:29
0,06:15:30
0,06:20:31
0,06:25:31
0,06:30:32
0,06:35:33
0,06:40:33
0,06:45:34
0,06:50:35
0,06:55:35
0,07:00:36
0,07:05:37
0,07:10:37
